Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
"Glonass 726 (Glonass 38-3, Cosmos 2444)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19136,19141,1.00E-004,676.07,1480,NaN,1600,39716,7,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.131322421
"Glonass 727 (Glonass 39-1, Cosmos 2447)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19112,19142,0.00059,675.62,1415,NaN,1000,39807,7,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR 1/09,NaN,1.131496954
"Glonass 729 (Glonass 39-3, Cosmos 2449)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,18922,19135,0.00419,671.71,1415,NaN,1000,39807,7,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR 1/09,NaN,1.130798822
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19132,19419,0.0056,681.53,1415,NaN,1000,40161,7,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.131147888
"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19119,19146,0.00053,675.85,1415,NaN,1000,40238,7,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130275224
"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19131,19133,4.00E-005,675.81,1415,NaN,1000,40238,7,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130449757
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,18864,19130,0.00524,670.47,1415,NaN,1000,40161,7,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130624289
"Glonass 734 (Glonass 41-3, Cosmos 2458)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19098,19129,0.00061,675.08,1415,NaN,1000,40161,7,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130973355
"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19128,19135,0.00014,675.81,1415,NaN,1000,40238,7,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130449757
"Glonass 736 (Glonass 43-1, Cosmos 2464)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,18909,19123,0.00421,671.2,1415,NaN,1000,40423,7,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.131322421
"Glonass 737 (Glonass 43-2, Cosmos 2465)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19116,19380,0.00515,680.43,1415,NaN,1000,40423,7,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.131671487
"Glonass 738 (Glonass 43-3, Cosmos 2466)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19079,19175,0.00188,675.61,1415,NaN,1000,40423,7,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.131671487
"Glonass 742 (Glonass-M, Cosmos 2474)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19126,19158,0.00063,676.2,1415,NaN,1000,40818,10,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,SC - ASCR,NaN,1.131322421
"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19142,19204,0.00121,677.46,1415,NaN,1000,40851,10,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130973355
"Glonass 744 (Glonass 44-3, Cosmos 2477)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19150,19199,0.00096,677.5,1415,NaN,1000,40851,10,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130973355
"Glonass 745 (Glonass 44-1, Cosmos 2475)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19139,19212,0.00143,677.54,1415,NaN,1000,40851,10,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,NaN,1.130624289
"Glonass 746 (Glonass-M, Cosmos 2478)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19130,19162,0.00063,676.38,1415,NaN,1000,40874,10,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,SC - ASCR,NaN,1.131322421
"Glonass 747 (Glonass-M, Cosmos 2485)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,NaN,19087,19173,0.00169,675.73,1415,NaN,1000,41390,10,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,SC - ASCR,NaN,1.130449757
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,NaN,35768,35801,0.00039,1436,3200,1533,2300,38861,7,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,JM/12_08,-1.828581457,0.004886922
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,NaN,35170,35170,0,1436,3200,1533,2300,39991,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,SC - ASCR,-1.562069681,0
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,NaN,35786,35788,2.00E-005,1436.14,3175,2180,NaN,40241,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,JM/4_10,-1.56084795,0.007330383
"GOES 3 (Geostationary Operational Environmental Satellite, GOES-C)",USA,"University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA)",Civil,Communications,GEO,NaN,35772,35800,0.00033,1436.08,627,NaN,NaN,28657,7,Hughes Aircraft,USA,Cape Canaveral,Delta 2914,JM/12_08,-1.770461993,0.249582083
Gktrk 2,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,LEO,Sun-Synchronous,669,690,0.00149,98.35,409,NaN,NaN,41261,5,TB_TAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Jiuquan Satellite Launch Center,Long March 2D,SC - ASCR,NaN,1.713215194
Gonets D1-1,Russia,Gonets Satcom,Commercial/Government/Government,Communications,LEO,Intermediate,1398,1415,0.00109,113.9,240,NaN,120,35113,NaN,NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,www.satellitedebris.net 12/12,NaN,1.441641962
Gonets D1-2,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,Intermediate,1405,1415,0.00064,114,240,NaN,120,35113,NaN,NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,www.satellitedebris.net 12/12,NaN,1.441641962
Gonets D1-3,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,Intermediate,1408,1417,0.00058,114,240,NaN,120,35113,NaN,NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,www.satellitedebris.net 12/12,NaN,1.441641962
Gonets M-12,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,Intermediate,1497,1510,0.00083,116.1,270,NaN,120,40429,0.5,M.F.ÊReshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.439896633
Gonets M-13,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,Intermediate,1478,1510,0.00203,115.9,270,NaN,120,41118,0.5,M.F.ÊReshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.439896633
Gonets M-14,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,NaN,1482,1507,0.00159,115.86,270,NaN,120,41528,0.5,M.F.ÊReshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,ZARYA,NaN,1.4397221
Gonets M-15,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,Intermediate,1480,1511,0.00197,115.9,270,NaN,120,41118,0.5,M.F.ÊReshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.439896633
Gonets M-16,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,NaN,1493,1508,0.00095,116,270,NaN,120,41528,0.5,M.F.ÊReshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,ZARYA,NaN,1.4397221
Gonets M-17,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,NaN,1494,1509,0.00095,116.02,270,NaN,120,41528,0.5,M.F.ÊReshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,ZARYA,NaN,1.614255025
"Grace 1 (Gravity Recovery and Climate Experiment, ""Tom and Jerry"")",Germany/USA,"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Civil,Earth Science,LEO,Polar,435,450,0.0011,93.4,480,445,150,37332,5,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.553343034
"Grace 2 (Gravity Recovery and Climate Experiment, ""Tom and Jerry"")",Germany/USA,"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Civil,Earth Science,LEO,Polar,434,451,0.00125,93.4,480,445,150,37332,5,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.553343034
"Greenhouse Gases Observing Satellite (Ibuki, GoSAT)",Japan,Japan Aerospace Exploration Agency (JAXA),Civil,Earth Science,LEO,Sun-Synchronous,668,670,0.00014,98.1,1750,NaN,3800,39836,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,www.satellitedebris.net 12/12,NaN,1.712167996
GSAT-10,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,35777,35795,0.00021,1436.07,3400,1493,NaN,41180,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,ZARYA,1.448623279,0.001047198
GSAT-12,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,35761,35811,0.00059,1436.1,1410,559,1430,40739,8,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV C17,SC - ASCR 9/11,1.447576082,0.001570796
GSAT-14,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,35763,35810,0.00056,1436.1,1982,NaN,NaN,41644,12,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,GSLV,SC - ASCR,1.291543646,0.004014257
GSAT-2,India,Indian Space Research Organization (ISRO),Government,Communications/Technology Development,GEO,NaN,35776,35796,0.00024,1436.07,1825,NaN,NaN,37749,0.5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV D2,JM/12_08,0.838456173,0.000698132
GSAT-7,India,Indian National Satellite System,Military,Communications,GEO,NaN,35757,35814,0.00068,1436,2650,NaN,NaN,41515,7,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,ZARYA,1.291543646,0.003316126
GSAT-8,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,GEO,NaN,35782,35796,0.00017,1436.23,3093,1426,6250,40683,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,SC - ASCR 9/11,0.959931089,0.001570796
"Haiyang 1B (HY 1B, Ocean 1B)",China (PR),State Oceanic Administration (SOA),Government,Meteorology,LEO,NaN,782,803,0.00147,100.7,500,NaN,450,39183,3,Dongfanghong Satellite Corporation Ltd.,China (PR),Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.717403984
Haiyang 2A (HY 2A),China (PR),State Oceanic Administration (SOA),Government,Meteorology,LEO,NaN,965,967,0.00014,104.4,1500,NaN,NaN,40770,3,China Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4B,www.satellitedebris.net 12/12,NaN,1.734857276
HAMSat (VUSat Oscar 52),India,Indian Space Research Organization (ISRO),Government/Civil,Communications,LEO,Sun-Synchronous,601,636,0.0025,97.1,42.5,42,NaN,38477,NaN,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C6,www.satellitedebris.net 12/12,NaN,1.70344135
Helios 2A,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Dlgation Gnrale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,681,683,0.00014,98,4200,1700,2900,38339,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,SC - ASCR,NaN,1.712167996
Helios 2B,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Dlgation Gnrale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,679,682,0.00021,98.37,4200,1700,2900,40165,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,SC - ASCR,NaN,1.712167996
"HellasSat 2 (Intelsat K-TV, NSS K-TV)",Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,GEO,NaN,35769,35803,4.00E-004,1436.08,3300,NaN,7600,37753,15,Astrium,France/UK/Germany,Cape Canaveral,Atlas 5,JM/12_08,0.681725606,0.000174533
"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)",USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Astrophysics,LEO,Intermediate,535,551,0.00116,95.5,293,NaN,414,37292,3,"Spectrum Astro, Inc.",USA,Cape Canaveral,Pegasus,www.satellitedebris.net 12/12,NaN,0.663225116
Hinode (Solar B),Multinational,Institute of Space and Aeronautical Science/NASA,Government,Solar Physics,LEO,NaN,670,696,0.00184,98.4,700,530,1000,39012,3,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V,www.satellitedebris.net 12/12,NaN,1.712167996
"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,Elliptical,NaN,952,1155,0.01367,106.27,348,NaN,900,41531,1,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,ZARYA,NaN,0.541052068
Hispasat 1C,Spain,Hispasat,Commercial/Gov/Mil,Communications,GEO,NaN,35764,35808,0.00052,1436.08,3112,1304,6000,36560,15,Alcatel Space Industries,France,Cape Canaveral,Atlas 2 AS,JM/12_08,-0.522377045,0.000523599
Hispasat 1D,Spain,Hispasat,Commercial/Gov/Mil,Communications,GEO,NaN,35764,35809,0.00053,1436.11,3288,1382,6200,37517,15,Aerospatiale (Alcatel Space Industries),France,Cape Canaveral,Atlas 2 AS,JM/12_08,-0.522726111,0.000349066
Hispasat 1E,Spain,Hispasat,Commercial,Communications,GEO,NaN,35782,35786,5.00E-005,1435.95,5320,2175,14000,40541,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,SC - ASCR,-0.523598776,0.00122173
HJ-1A (Huan Jing 1A),China (PR),National Remote Sensing Center (NRSCC),Government,Remote Sensing,LEO,Polar,628,665,0.00264,97.7,470,NaN,NaN,39696,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China (PR),Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.706932008
HJ-1B (Huan Jing 1B),China (PR),National Remote Sensing Center (NRSCC),Government,Remote Sensing,LEO,Polar,621,673,0.00371,97.7,470,NaN,NaN,39696,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China (PR),Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.706932008
HJ-1C (Huan Jing 1C),China (PR),National Committee for Disaster Reduction and State Environmental Protection,Government,Remote Sensing,LEO,NaN,489,503,0.00102,94.53,890,NaN,NaN,41231,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China (PR),Taiyuan Launch Center,Long March 2C,SC - ASCR,NaN,1.699078027
Ho'oponopono-2 (H2),USA,University of Hawaii,Civil,Radar Calibration,LEO,NaN,499,504,0.00036,94.65,3.5,NaN,NaN,41597,1,"University of Hawaii, Honlulu",USA,Wallops Island Flight Facility,Minotaur 1,SC - ASCR,NaN,0.70703288
Horizons 2,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,GEO,NaN,35777,35796,0.00023,1436.1,2300,NaN,4700,39437,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,JM/12_08,1.483529864,0
Horyu-2 (High Voltage Technology Demonstration Satellite-2),Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,LEO,Sun-Synchronous,650,669,0.00135,97.9,7.1,NaN,NaN,41046,1,Kyushu Institute of Technology (KIT),Japan,Tanegashima Space Center,H-2A,www.satellitedebris.net 12/12,NaN,1.713913325
"Hubble Space Telescope (HST, Space Telescope)",ESA/USA,European Space Agency/NASA,Government,Astrophysics/Planetary Science,LEO,Intermediate,555,559,0.00029,95.8,11110,NaN,2400,32988,10,European Space Agency/NASA,International,Cape Canaveral,Space Shuttle (STS 31),www.satellitedebris.net 12/12,NaN,0.497418837
HumSat-D,Spain,University of Vigo,Civil,Technology Development,LEO,Sun-Synchronous,590,640,0.00358,96.9,1,NaN,NaN,41599,NaN,University of Vigo,Spain,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
HYLAS 1 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,NaN,35770,35803,0.00039,1436.07,2242,NaN,NaN,40508,15,EADS Astrium,France,Guiana Space Center,Ariane 5,SC - ASCR,-0.584685299,0.000174533
HYLAS 2 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,NaN,35775,35799,0.00028,1436.14,3311,1532,NaN,41123,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.584685299,0.001047198
ICube,Pakistan,Institute of Space Technology,Government,Technology Development,LEO,Sun-Synchronous,590,639,0.00351,96.9,1,NaN,NaN,41599,NaN,Institute of Space Technology,Pakistan,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
IGS-1A (Information Gathering Satellite 1A),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,485,491,0.00044,94.36,850,NaN,NaN,37708,5,Mitsubishi,Japan,Tanegashima Space Center,H-2A,JMSatcat304,NaN,1.698205362
IGS-3A (Information Gathering Satellite 3A),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,484,492,0.00058,94.37,850,NaN,NaN,38971,5,Mitsubishi,Japan,Tanegashima Space Center,H-2A,SC - ASCR,NaN,1.698205362
"IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,484,492,0.00058,94.37,1600,NaN,NaN,40145,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H-2A,SC - ASCR,NaN,1.698379895
"IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,588,591,0.00022,96.47,1600,NaN,NaN,40809,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H-2A,ZARYA,NaN,1.705012146
"IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,512,514,0.00015,94.89,1600,NaN,NaN,40889,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H-2A,ZARYA,NaN,1.700997889
"IGS-8A (Information Gathering Satellite 8A, IGS Radar 4)",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,509,514,0.00036,94.85,1600,NaN,NaN,41301,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,ZARYA,NaN,1.701696021
"IGS-8B (Information Gathering Satellite 8B, IGS Optical Demonstrator)",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41301,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,ZARYA,NaN,NaN
Ikonos-2,USA,GeoEye,Commercial,Remote Sensing,LEO,Sun-Synchronous,678,680,0.00014,98.3,726,NaN,NaN,36427,7,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Athena 2,www.satellitedebris.net 12/12,NaN,1.712167996
"Improved Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins 1, USA 184)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,Elliptical,Molniya,1111,37564,0.709,684,4000,NaN,NaN,38896,NaN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4,SC - ASCR,NaN,1.099557429
"Improved Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins 2, USA 200)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,Elliptical,Molniya,1112,37580,0.70905,684,4200,NaN,NaN,39520,NaN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,SC - ASCR,NaN,1.109331273
"IMS 1 (Indian Mini-Satellite, TWSat)",India,Indian Space Research Organization (ISRO),Government,Remote Sensing,LEO,Sun-Synchronous,620,637,0.00121,97.3,83,NaN,220,39566,NaN,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV C9,www.satellitedebris.net 12/12,NaN,1.706932008
INMARSAT 3 F1,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35764,35808,0.00052,1436.08,2064,860,NaN,35158,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,JM/12_08,1.126784565,0.001396263
INMARSAT 3 F2,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35763,35809,0.00055,1436.1,2070,860,NaN,35314,13,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton,JM/12_08,-0.2708751,0.001396263
INMARSAT 3 F4,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35609,35642,0.00039,1427.91,2066,860,NaN,35584,13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,-2.188468349,0.001047198
INMARSAT 3 F5,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35769,35803,4.00E-004,1436.07,2000,895,2800,35830,13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,0.437554043,0.000698132
INMARSAT 4 F1,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35772,35799,0.00032,1436.08,5959,NaN,13000,38422,15,EADS Astrium,France/UK/Germany,Cape Canaveral,Atlas 5,JM/12_08,1.11631259,0.040142573
INMARSAT 4 F2,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35773,35800,0.00032,1436.11,5458,NaN,13000,38664,15,EADS Astrium,France/UK/Germany,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-0.920835713,0.040666172
INMARSAT 4 F3,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.1,5960,NaN,13000,39678,15,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,JM/12_08,-1.704314015,0.05253441
INMARSAT 5 F1,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,NaN,35784,35790,7.00E-005,1436.13,6070,3750,13000,41616,15,Boeing,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,1.052433539,0.001047198
INSAT 3A (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Meteorology,GEO,NaN,35780,35793,0.00015,1436.1,2950,1348,3100,37720,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 5,JM/12_08,1.632406449,0
INSAT 3C (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,35764,35809,0.00053,1436.1,2750,1050,3200,37279,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 4,JM/12_08,1.29293991,0.000698132
INSAT 3D (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Meteorology,GEO,NaN,35782,35791,0.00011,1436.09,2090,NaN,NaN,41480,NaN,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA,ZARYA,1.431169987,0.00418879
INSAT 3E (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications/Earth Science,GEO,NaN,35765,35807,5.00E-004,1436.08,2750,1181,2400,37891,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 5,JM/12_08,0.961850951,0.002094395
INSAT 4A (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,35777,35796,0.00023,1436.1,3100,NaN,5500,38707,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 5G,JM/12_08,1.450019543,0.000523599
INSAT 4B (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,35760,35811,6.00E-004,1436.08,3028,1335,NaN,39152,NaN,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,JM/12_08,1.631533785,0.000698132
INSAT 4CR (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,NaN,37782,37791,1.00E-004,1436.11,2130,NaN,3000,39327,12,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,GSLV F04,JM/9_11,1.291020048,0.000523599
Integral (INTErnational Gamma-Ray Astrophysics Laboratory),ESA/USA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Physics,Elliptical,Deep Highly Eccentric,2284,152812,0.89688,4032.86,4000,3414,2000,37546,2,Alenia Aerospazio (and 28 subcontractors),Italy/International,Baikonur Cosmodrome,Proton,JMSatcat304,NaN,0.90931654
Intelsat 10 (PAS-10),USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.08,3739,2510,9600,37025,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton,JM/12_08,1.195899603,0.000698132
Intelsat 10-02 (Thor 4),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35783,35789,7.00E-005,1436.08,5576,NaN,11000,38154,13,EADS Astrium,UK/France/Germany/Spain,Baikonur Cosmodrome,Proton,JM/12_08,-0.016580628,0.000349066
